state,facility_name,permit_number,violation_date,violation_type,parameter,status,source_file
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251031_082015.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20250827_082010.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20250814_085501.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20250903_081946.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251021_082142.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251001_082047.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251208_082545.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251212_082403.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251209_082400.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251205_082216.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20250826_082143.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20250919_081937.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20250828_082003.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251103_082223.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251226_082235.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251112_082222.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20250822_082040.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251213_082007.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251111_082058.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251019_081749.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20250819_082053.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20250908_082154.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251113_082137.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20260128_082647.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251118_082131.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251115_081849.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20250925_082015.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20250808_085833.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260127_082737.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20260114_082439.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251006_082049.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20250901_082208.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20250803_181117.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20260123_082445.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251017_082110.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20250806_090018.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20250923_082008.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251223_082424.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251231_082351.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251020_082111.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251202_082405.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20250926_082118.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251031_082015.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251004_081650.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20250905_081944.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251202_082405.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20260118_082143.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251126_082225.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20250916_082049.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260102_082359.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251010_082027.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20250914_081719.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251217_082404.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251028_082116.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20260127_082737.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251216_082435.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20260122_082623.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260106_082506.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251220_082040.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20250808_085833.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20250923_082008.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20260110_082140.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20250821_082038.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20250906_081702.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251017_082110.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251219_082317.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20250929_082214.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20260126_082705.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20260128_082647.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20250819_082053.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251210_082325.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20250915_082030.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251206_082005.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20250904_081937.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251122_081924.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251002_081910.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251014_081923.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20250823_081801.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20260124_082141.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20260110_082140.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20250803_181117.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20250808_085833.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20250830_081735.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251211_082424.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251124_082327.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251209_082400.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251114_082102.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20250820_082048.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251022_082259.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20250902_082045.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251007_082040.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251225_082250.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20260115_082537.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20260114_082439.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251120_082223.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251215_082639.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251023_082132.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251220_082040.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251229_082605.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251005_081712.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251104_082211.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251008_082103.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251224_082348.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251215_082639.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20250902_082045.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251015_082136.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251107_082126.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251121_082224.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251128_082209.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251206_082005.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251126_082225.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20260109_082500.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20250912_081918.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20260130_083255.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20250803_152951.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260109_082500.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20260119_082736.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20260122_082623.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20260113_082503.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251117_082326.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20250820_082048.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251007_082040.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20250919_081937.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260121_082629.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260123_082445.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251130_081930.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251124_082327.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251104_082211.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20250911_082000.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251015_082136.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20250925_082015.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20250814_085501.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251022_082259.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251009_082028.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20250803_173741.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20250820_082048.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251016_082136.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251231_082351.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20250913_081704.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251116_081918.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251015_082136.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251119_082121.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260104_082154.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20260119_082736.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260126_082705.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20250909_082048.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20250915_082030.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260101_082334.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20250812_085411.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20250913_081704.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251225_082250.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251110_082324.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251024_082052.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251211_082424.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260114_082439.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20250904_081937.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251223_082424.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251208_082545.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251025_081751.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20250825_082219.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20250924_082036.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260118_082143.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20260111_082130.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20260107_082450.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251103_082223.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251219_082317.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260131_082420.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251023_082132.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251118_082131.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20250910_082008.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251113_082137.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20250803_181117.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20250818_082349.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260112_082634.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20260116_082433.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251217_082404.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251105_082119.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20250822_082040.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20250912_081918.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251007_082040.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251224_082348.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260129_083329.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251028_082116.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251219_082317.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20250822_082040.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251228_082136.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251021_082142.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260128_082647.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20250930_082112.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20250927_081709.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20250919_081937.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251011_081742.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20250825_082219.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251221_082101.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251016_082136.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20250815_082120.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20250807_085914.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251010_082027.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20260104_082154.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251003_081915.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20250928_081704.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251218_082336.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251111_082058.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251102_081727.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251005_081712.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20250816_081918.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20260131_082420.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20250828_082003.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251129_082013.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20250815_082120.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251104_082211.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20250906_081702.csv
