state,facility_name,permit_number,violation_date,violation_type,parameter,status,source_file
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20260408_085535.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251229_082605.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251029_082130.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251201_082527.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20250911_082000.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260309_083900.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20250904_081937.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260101_082334.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20250824_081744.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20260404_083548.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251025_081751.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251024_082052.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20260423_092247.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20250923_082008.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20260322_082915.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251026_081818.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20250928_081704.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251219_082317.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251020_082111.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20260125_082201.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251102_081727.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251018_081824.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20260228_082339.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260305_083536.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251218_082336.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20260116_082433.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20250805_085948.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251028_082116.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251018_081824.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251021_082142.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260320_083546.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20260419_084911.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251218_082336.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20250914_081719.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20250813_085603.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251005_081712.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20260415_091352.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251220_082040.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251202_082405.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251030_082028.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20250808_085833.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260214_082650.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260126_082705.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260323_084953.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20250919_081937.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260420_095419.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251224_082348.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251122_081924.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20250904_081937.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20250906_081702.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251123_081926.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251128_082209.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20260114_082439.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251203_082316.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20250918_081926.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251006_082049.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251231_082351.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260306_083227.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251029_082130.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20250811_085717.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260220_083521.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20250902_082045.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20250827_082010.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251222_082453.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251217_082404.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260417_091249.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251028_082116.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20250816_081918.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20260225_084150.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260215_082746.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260227_083600.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251127_082329.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20260104_082154.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260131_082420.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251111_082058.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260408_085535.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20250830_081735.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20250816_081918.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251101_081813.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20260409_090240.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260402_085140.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260302_083835.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251009_082028.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20250803_173741.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251229_082605.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20260103_082126.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20250826_082143.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251022_082259.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20260422_091530.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20260226_084103.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251201_082527.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251226_082235.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251228_082136.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251231_082351.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251109_081749.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260328_083335.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20260419_084911.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20260411_083734.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20260409_090240.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251018_081824.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20260308_082617.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20260408_085535.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20250926_082118.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20260426_085529.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251017_082110.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20260415_091352.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251228_082136.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251219_082317.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251227_082123.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251212_082403.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251208_082545.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251213_082007.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20250803_181117.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20260328_083335.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251217_082404.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20250822_082040.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20260222_082632.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20260417_091249.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251026_081818.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20260326_084830.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20250919_081937.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20260416_091356.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251130_081930.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20260110_082140.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20260207_082540.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20250814_085501.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260307_082521.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251225_082250.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260218_083926.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20260301_082551.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260207_082540.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251118_082131.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20250823_081801.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260120_082639.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251226_082235.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20250804_090008.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20250826_082143.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20260106_082506.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20250814_085501.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20250925_082015.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251116_081918.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20250820_082048.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20260430_100226.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251216_082435.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251231_082351.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260209_084445.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251003_081915.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20250913_081704.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260430_100226.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20250917_081946.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20260121_082629.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251010_082027.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20250912_081918.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20260318_084216.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260315_083139.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251113_082137.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260427_101036.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20260313_083442.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20260211_084203.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251211_082424.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251209_082400.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20260322_082915.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20250831_081745.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20250827_082010.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251223_082424.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260412_084142.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20250905_081944.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20250811_085717.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20250920_081732.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251127_082329.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20260219_083821.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260211_084203.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260226_084103.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20260119_082736.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260206_083559.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251112_082222.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251123_081926.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251024_082052.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20250820_082048.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20250805_085948.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251031_082015.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251210_082325.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20250926_082118.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20260219_083821.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20260112_082634.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251126_082225.csv
