"ACTIVITY_ID","EXTERNAL_PERMIT_NMBR","VERSION_NMBR","FACILITY_TYPE_INDICATOR","PERMIT_TYPE_CODE","MAJOR_MINOR_STATUS_FLAG","PERMIT_STATUS_CODE","TOTAL_DESIGN_FLOW_NMBR","ACTUAL_AVERAGE_FLOW_NMBR","STATE_WATER_BODY","STATE_WATER_BODY_NAME","PERMIT_NAME","AGENCY_TYPE_CODE","ORIGINAL_ISSUE_DATE","ISSUE_DATE","ISSUING_AGENCY","EFFECTIVE_DATE","EXPIRATION_DATE","RETIREMENT_DATE","TERMINATION_DATE","PERMIT_COMP_STATUS_FLAG","RNC_TRACKING_FLAG","MASTER_EXTERNAL_PERMIT_NMBR","TMDL_INTERFACE_FLAG","EDMR_AUTHORIZATION_FLAG","PRETREATMENT_INDICATOR_CODE","RAD_WBD_HUC12S"
"3603541211","NHG910000","0",,"NGP",,"EFF",,,,,"DEWATERING REMEDIATION MASTER GENERAL PERMIT","EP6","09/09/2005","08/02/2022",,"08/02/2022","08/01/2027",,,,"Y",,,"N",,
"3400036063","MTR100000","4",,"NGP",,"ADC",,,,,"Storm Water Construction","ST6","11/17/1992","10/25/2012","MONTANA DEQ","01/01/2013","12/31/2017","12/31/2017",,,"Y",,,"N",,
"3400126545","NDG650000","0",,"NGP",,"TRM",,,,,"North Dakota Biosolids Permit (Non-Tribal)","EP6","10/20/2007","05/15/2013",,"05/15/2013","05/12/2018",,"01/15/2015",,"Y",,,"N",,
"1800063722","OKG380000","2",,"NGP",,"ADC",,,,,,"ST6","01/02/2003","12/31/2007","ODEQ","01/01/2008","12/31/2012","12/31/2012",,,"Y",,,"N",,
"3600683415","MIS220000","0",,"NGP",,"ADC",,,,,"GP-Ind SW CY2 Deluxe","ST6","08/09/2006","08/09/2006","State","04/01/2007","03/31/2012",,,,"Y",,,"N",,
"3601079269","RIG870000","1",,"NGP",,"ADC",,,,,"PESTICIDE GENERAL PERMIT","ST6","05/31/2017","05/31/2017",,"06/22/2017","06/21/2022","11/21/2022",,,"Y",,,"N",,
"3600834790","SCG646000","2",,"NGP",,"ADC",,,,,"WATER TREATMENT PLANT DISCHARGERS","ST6","10/06/2010","12/02/2015","South Carolina DHEC","01/01/2016","12/30/2020","07/31/2022",,,"Y",,,"N",,
"3604422197","NCG600000","0",,"NGP",,"EFF",,,,,"Aquatic Animal Operations, Packing and Rinsing Wastewater Discharge","ST6","05/01/2025","05/01/2025",,"05/01/2025","04/30/2030",,,,"Y",,,"N",,
"20010318","AKR05000F","0",,"NGP",,"TRM",,,,,,"EP6","09/29/1995","09/29/1995",,"10/01/1995","10/01/2000",,"10/30/2000","N","Y",,,"N",,
"1400013925","MDG010000","1",,"NGP",,"ADC",,,,,"Animal Feeding Operations","ST6","12/18/1996","12/18/1996","Maryland Department of the Environment","12/18/1996","12/17/2001","07/31/2016",,,"Y",,,"N",,
"2600041180","COR340000","0",,"NGP",,"ADC",,,,,"MASTER GENERAL - SAND AND GRAVEL","ST6","08/31/2007","08/31/2007",,"10/01/2007","09/30/2012",,,,"Y",,,"N",,
"3400132670","UTG651000","0",,"NGP",,"TRM",,,,,"Utah Biosolids Permit (Tribal)","EP6","10/20/2007","05/15/2013",,"05/15/2013","05/12/2018",,"01/15/2015",,"Y",,,"N",,
"3603818164","UTR000000","0",,"NGP",,"EFF",,,,,"Multi-Sector General Permit (MSGP) for Storm Water Discharges Associated with Industrial Activities","ST6","01/01/1997","12/27/2023","Utah Division of Water Quality","01/01/2024","12/31/2028",,,,"Y",,,"N",,
"3600467678","AKG371000","3",,"NGP",,"ADC",,,,,"MEDIUM SIZE SUCTION DREDGE GENERAL PERMIT","ST6","10/06/2005","12/18/2015","ADEC","02/01/2016","01/31/2021","06/30/2021",,,"Y",,,"N",,
"1200028709","COA931000","0",,"NGP",,"TRM",,,,,"CAFO PERMIT","ST6","07/14/2005","07/14/2005",,"08/14/2005","08/13/2010",,"09/30/2013","Y","Y",,,"N",,
"3600482175","OHR000005","0",,"NGP",,"ADC",,,,,"OHR000005","ST6","12/15/2011","12/15/2011","Ohio EPA","01/01/2012","12/31/2016",,,,"Y",,,"N",,
"3603501305","ILG103000","0",,"NGP",,"EFF",,,,,"TLWQS PERMITS","ST6","09/29/2022","09/29/2022","ILLINOIS EPA","10/01/2022","05/31/2027",,,,"Y",,,"N",,
"3601361842","NJ0141887","1",,"NGP",,"ADC",,,,,"Highway Agency Stormwater General Permit","ST6","03/01/2009","03/01/2009",,"03/01/2009","02/28/2014","12/31/2019",,,"Y",,,"N",,
"3602935309","WAG440002","2",,"NGP",,"ADC",,,,,"CAFO Combined GP","ST6","06/21/2006","01/18/2017",,"03/03/2017","03/02/2022","01/05/2023",,,"Y",,,"N",,
"3400053495","NCG530000","2",,"NGP",,"ADC",,,,,"Fish Farms, Packing and Rinsing Wastewater Discharge","ST6","08/01/2007","08/01/2012",,"08/01/2012","07/31/2017","02/28/2018",,,"Y",,,"N",,
"3600992055","MDG490000","0",,"NGP",,"ADC",,,,,"Mineral Mines & Concrete Plants","ST6","10/17/2000","03/30/2017","Maryland Department of the Environment","05/01/2017","04/30/2022",,,,"Y",,,"N",,
"3000015977","IDG010000","2",,"NGP",,"ADC",,,,,"CONCENTRATED ANIMAL FEEDING OPERATION (CAFO)","EP6","04/14/1987","03/29/2012",,"05/09/2012","05/08/2017","06/14/2020",,,"Y",,,"N",,
"3600792121","KYG760000","1",,"NGP",,"ADC",,,,,"PUBLIC SWIMMING AND BATHING FACILITIES","ST6","08/24/2016","08/24/2016",,"09/01/2016","08/31/2021","12/31/2023",,,"Y",,,"N",,
"3604217173","KYR100000","0",,"NGP",,"EFF",,,,,"GP for Stormwater Associated w Construction","ST6","07/01/2009","01/02/2025",,"01/03/2025","12/31/2029",,,,"Y",,,"N",,
"3602997267","SDR10I000","0",,"NGP",,"EFF",,,,,"Construction General Permit (CGP)","EP6","01/11/2017","02/17/2022","U.S. EPA","02/17/2022","02/16/2027",,,,"Y",,,"N",,
"3600776180","PAM000000","0",,"NGP",,"ADC",,,,,"Mining Stormwater","ST6","02/12/2016","02/12/2016","PADEP","02/12/2016","02/11/2021",,,,"Y",,,"N",,
"3601565557","TXR150000","4",,"NGP",,"ADC",,,,,,"ST6","03/05/2003","02/09/2018",,"03/05/2018","03/04/2023","03/04/2023",,,"Y",,,"N",,
"3601473800","MNG640000","3",,"NGP",,"ADC",,,,,"WTP Surface Water Discharge General Permit","ST6","07/31/2007","07/01/2018",,"07/01/2018","06/30/2023","06/30/2023",,,"Y",,,"N",,
"3603223659","AZG210001","0",,"NGP",,"EFF",,,,,"DMGP 2021","ST6","05/28/2021","05/28/2021","Arizona Department of Environmental Quality","06/01/2021","05/31/2026",,,,"Y",,,"N",,
"1400043208","NVR100000","2",,"NGP",,"ADC",,,,,"NV STORMWATER CONSTRUCTION","ST6","09/16/2002","09/16/2007",,"09/16/2007","09/15/2012","01/04/2015",,,"Y",,,"N",,
"3200059790","NCG520000","1",,"NGP",,"EFF",,,,,,"ST6","08/01/2012","08/01/2012",,"08/01/2012","07/31/2015","12/31/2012",,,"Y",,,"N",,
"3602997255","NHR100000","0",,"NGP",,"EFF",,,,,,"EP6","07/01/2003","02/17/2022",,"02/17/2022","02/16/2027",,,,"Y",,,"N",,
"3602164497","NDG070000","2",,"NGP",,"ADC",,,,,"General Permit NDG070000-Temporary Discharge","ST6","03/25/2015","03/30/2020","North Dakota Department of Environmental Quality","04/01/2020","03/31/2025","03/31/2025",,,"Y",,,"N",,
"2200013518","MIG490000","1",,"NGP",,"ADC",,,,,"Sand and Gravel","ST6","07/23/2009","07/23/2009","MI","04/01/2010","03/31/2015","03/31/2015",,,"Y",,,"N",,
"3600053680","CAG990002","0",,"NGP",,"ADC",,,,,"Utility Vaults and Underground Structures","ST6","07/19/2006","10/21/2014",,"07/01/2015","06/29/2020",,,,"Y",,,"N",,
"3602724073","NCG030000","5",,"NGP",,"ADC",,,,,"Metal Fabrication Stormwater Discharge","ST6","11/07/2007","06/01/2021",,"06/01/2021","06/30/2021","06/30/2021",,,"Y",,,"N",,
"3602798362","WV0115924","3",,"NGP",,"ADC",,,,,,"ST6","11/05/2002","01/10/2019",,"02/11/2019","02/10/2024","04/05/2024",,,"Y",,,"N",,
"1800105075","MTG770000","2",,"NGP",,"ADC",,,,,"Disinfected Water","ST6","04/01/1996","04/30/2010","MONTANA DEQ","06/01/2010","05/31/2015","12/31/2015",,,"Y",,,"N",,
"3602935318","WAR125725","0",,"NGP",,"EFF",,,,,"Construction Stormwater GP","ST6","11/16/2005","11/18/2020",,"01/01/2021","12/31/2025",,,,"Y",,,"N",,
"3400125774","CAG915001","0",,"NGP",,"TRM",,,,,"Cleanup of Petroleum Fuel Pollution","ST6","06/12/2008","05/31/2013",,"05/31/2013","05/01/2018",,"06/04/2020",,"Y",,,"N",,
"3600912393","GAG480000","2",,"NGP",,"ADC",,,,,"DOD General Permit","ST6","01/15/2009","01/15/2014",,"01/15/2014","01/14/2019","01/14/2019",,,"Y",,,"N",,
"3603836324","GAG480000","0",,"NGP",,"EFF",,,,,"DOD General Permit","ST6","01/15/2009","01/15/2024",,"01/15/2024","01/14/2029",,,,"Y",,,"N",,
"3602078441","ARG160000","4",,"NGP",,"ADC",,,,,"Landfills Located within the State of Arkansas","ST6","10/04/1989","06/06/2019",,"03/01/2020","02/28/2025","02/28/2025",,,"Y",,,"N",,
"3600476417","UTG589000","2",,"NGP",,"ADC",,,,,"UTAH MASTER LAGOON GENERAL PERMIT","EP6","09/01/2010","12/03/2015",,"01/01/2016","12/31/2020","03/31/2022",,,"Y",,,"N",,
"3400057729","WAG031054","2",,"NGP",,"ADC",,,,,"General Permit Issuance","ST6","11/02/2005","12/19/2007",,"01/19/2008","11/02/2010","05/31/2011",,,"Y",,,"N",,
"3603511065","NJ0324183","0",,"NGP",,"EFF",,,,,"Wood Waste Recycling and Leaf Composting (GP)","ST6","11/25/2022","11/25/2022",,"01/01/2023","12/31/2027",,,,"Y",,,"N",,
"2400199152","MOR12A000","0",,"NGP",,"ADC",,,,,"Food and Kindred Products","ST6","07/28/2006","07/28/2006","MODNR-Water Protection Program","07/28/2006","07/27/2011",,,,"Y",,,"N",,
"1400021516","MAG070000","2",,"NGP",,"ADC",,,,,,"EP6","05/01/1996","10/07/2008",,"10/07/2008","09/30/2013","05/19/2015",,,"Y",,,"N",,
"2200038057","WIG250000","0",,"NGP",,"ADC",,,,,"NONCONTACT COOLING WATER OR CONDENSATE AND BOILER WATER","ST6","05/01/2004","05/01/2004",,"05/01/2004","03/31/2006",,,,"Y",,,"N",,
"600040108","NYG619803","2",,"NGP",,"ADC",,,,,"STORMWATER INDUSTRIAL","ST6","11/01/1998","12/27/2006",,"04/01/2007","03/31/2012","09/30/2012",,,"Y",,,"N",,
"3601477059","OKR050000","0",,"NGP",,"ADC",,,,,"Industrial  Stormwater","ST6","10/30/2000","06/05/2017",,"07/05/2017","07/04/2022",,,,"Y",,,"N",,
"1800017249","NNR050000","0",,"NGP",,"ADC",,,,,"NN Stormwater Multi-Sector","EP6","09/29/2008","09/29/2008",,"09/30/2008","09/29/2013",,,,"Y",,,"N",,
"3603504272","NJ0088315","0",,"NGP",,"EFF",,,,,"Basic Industrial Stormwater (GP)","ST6","01/24/2018","01/12/2023",,"02/01/2023","01/31/2028",,,,"Y",,,"N",,
"1800066879","LAG110000","2",,"NGP",,"ADC",,,,,,"ST6","03/11/2004","03/12/2009",,"03/15/2009","03/14/2014","04/03/2014",,,"Y",,,"N",,
"3400119241","WV0113727","2",,"NGP",,"ADC",,,,,,"ST6","02/01/1996","05/03/2013",,"06/03/2013","05/02/2018","05/30/2018",,,"Y",,,"N",,
"2600084650","LAG560000","2",,"NGP",,"ADC",,,,,"Class III Sanitary","ST6","07/11/2003","05/06/2009",,"06/01/2009","05/31/2014","11/04/2014",,,"Y",,,"N",,
"3604186514","AKG320000","0",,"NGP",,"EFF",,,,,"Statewide Oil and Gas Pipelines","ST6","06/14/2017","10/30/2024","Alaska Department of Environmental Conservation","12/01/2024","11/30/2029",,,,"Y",,,"N",,
"3400080593","WAR046702","3",,"NGP",,"ADC",,,,,"General Permit Issuance","ST6","01/17/2007","08/01/2012",,"09/01/2012","07/31/2014","07/31/2014",,,"Y",,,"N",,
"1600047576","ALG240000","1",,"NGP",,"ADC",,,,,"GENERAL PERMIT TEXTILE INDUSTRIES","ST6","10/01/2002","06/11/2007",,"10/01/2007","09/30/2012","09/30/2012",,,"Y",,,"N",,
"3600949635","WYR10I000","1",,"NGP",,"ADC",,,,,"Construction General Permit (CGP)","EP6","01/11/2017","01/11/2017","U.S. EPA","02/16/2017","02/15/2022","02/16/2022",,,"Y",,,"N",,
"3602426669","MNR05I000","0",,"NGP",,"EFF",,,,,"Multi-Sector MSG","EP6","06/04/2015","01/15/2021",,"03/01/2021","02/28/2026",,,,"Y",,,"N",,
"3602426697","MSR05I000","0",,"NGP",,"EFF",,,,,"Multi-Sector MSG","EP6","01/15/2021","01/15/2021",,"03/01/2021","02/28/2026",,,,"Y",,,"N",,
"1200016375","CAG919001","0",,"NGP",,"TRM",,,,,"SD BAY GROUNDWATER DEWATERING","ST6","10/10/2007","10/10/2007",,"10/10/2007","10/10/2012",,"10/01/2015","Y","Y",,,"N",,
"3601188810","MTG490000","4",,"NGP",,"ADC",,,,"STATE WATERS","Sand and Gravel","ST6","05/01/1993","09/07/2017","MONTANA DEQ","11/01/2017","10/31/2019","10/31/2019",,,"Y",,,"N",,
"3600151626","WYR05I000","1",,"NGP",,"ADC",,,,,"Multi-Sector MSG","EP6","06/04/2015","06/04/2015",,"06/04/2015","06/03/2020","02/28/2021",,,"Y",,,"N",,
"3600736546","MDG760000","2",,"NGP",,"ADC",,,,,"Swimming Pools","ST6","05/14/2007","10/01/2012","Maryland Department of the Environment","10/01/2012","09/30/2017","09/30/2022",,,"Y",,,"N",,
"3603445649","MDG760000","0",,"NGP",,"EFF",,,,,"Swimming Pools","ST6","05/14/2007","10/01/2022","Maryland Department of the Environment","10/01/2022","09/30/2027",,,,"Y",,,"N",,
"3602997250","MNR10I000","0",,"NGP",,"EFF",,,,,"Construction General Permit (CGP)","EP6","01/11/2017","02/17/2022","U.S. EPA","02/17/2022","02/16/2027",,,,"Y",,,"N",,
"2600093058","AKG331000","0",,"NGP",,"TRM",,,,,"FACILITIES RELATED TO OIL AND GAS EXTRACTION","ST6","12/22/2011","12/22/2011","ADEC","02/02/2012","01/31/2017",,"03/01/2017",,"Y",,,"N",,
"2600020440","COG840000","0",,"NGP",,"ADC",,,,,"Master General Permit - Produced-Water Treatment","ST6","07/31/2009","07/31/2009",,"09/01/2009","08/31/2014",,,,"Y",,,"N",,
"3602724089","NCG080000","5",,"NGP",,"ADC",,,,,"Transportation w/Vehicle Maintenance/Petroleum Bulk/Oil Water Separator Stormwater Discharge","ST6","11/01/2007","06/01/2021",,"06/01/2021","06/30/2021","06/30/2021",,,"Y",,,"N",,
"3600666895","CAG382001","0",,"NGP",,"ADC",,,,,"Filter Backwash From Drinking Water Filter Facilities","ST6","06/18/2003","03/09/2016",,"04/01/2016","03/31/2021",,,,"Y",,,"N",,
"3600683412","MIR010000","0",,"NGP",,"ADC",,,,,"GP-Ind SW CY3 Regular","ST6","06/09/1998","06/09/1998","State","06/15/1998","05/30/2003",,,,"Y",,,"N",,
"2400199146","MOR10A000","0",,"NGP",,"TRM",,,,,"Land Disturbance","ST6","02/08/2007","02/08/2007","MODNR-Water Protection Program","02/08/2007","02/07/2012",,"10/25/2013",,"Y",,,"N",,
"3604201411","IDG370000","0",,"NGP",,"EFF",,,,,"SMALL SUCTION DREDGE PLACER MINERS","ST6","03/28/2013","05/24/2024",,"06/21/2024","06/20/2029",,,,"Y",,,"N",,
"3602489245","MIG250000","3",,"NGP",,"EFF",,,,,"NON-CONTACT COOLING WATER","ST6","04/01/2009","01/24/2018",,"04/01/2018","03/31/2023","08/28/2019",,,"Y",,,"N",,
"3600778831","MIG250000","2",,"NGP",,"ADC",,,,,"NON-CONTACT COOLING WATER","ST6","04/01/2009","09/28/2012",,"04/01/2013","03/31/2018","03/31/2018",,,"Y",,,"N",,
"3603190527","MOR23D000","0",,"NGP",,"EFF",,,,,"Plastics and Rubber Manufacturing and Mo","ST6","02/04/2011","05/10/2022",,"05/10/2022","05/09/2027",,,,"Y",,,"N",,
"3600888536","NDR320000","1",,"NGP",,"ADC",,,,,"General Permit NDR320000-Stormwater from Mining, Extraction & Paving Material Preparation Industries","ST6","12/31/2014","12/31/2014","North Dakota Department of Health","01/01/2015","12/31/2019","12/31/2019",,,"Y",,,"N",,
"3400059265","WAR125726","3",,"NGP",,"ADC",,,,,"General Permit Issuance","ST6","08/21/2002","08/15/2007",,"09/15/2007","05/31/2008","11/14/2008",,,"Y",,,"N",,
"3600995604","NNG990001","1",,"NGP",,"ADC",,,,,"Low Threat Discharges","EP6","03/23/2018","03/23/2018",,"05/01/2018","04/30/2023","04/30/2024",,,"Y",,,"N",,
"3400120439","105654123","0",,"NGP",,"PND",,,,,,"EC6",,,,,,,,,"Y",,,"N",,
"3602987058","PAG010000","0",,"NGP",,"EFF",,,,,"Stormwater Associated with Construction Activities","ST6","11/13/2021","11/13/2021",,"03/01/2022","02/28/2027",,,,"Y",,,"N",,
"3200027788","MSG110000","1",,"NGP",,"ADC",,,,,,"ST6","04/01/2009","04/01/2009",,"04/01/2009","03/31/2014","03/31/2014",,,"Y",,,"N",,
"3600965645","ASR100000","3",,"NGP",,"ADC",,,,,"AS STORMWATER CONSTRUCTION","EP6","07/01/2003","01/11/2017",,"02/16/2017","02/15/2022","02/16/2022",,,"Y",,,"N",,
"600011612","MTG650000","1",,"NGP",,"ADC",,,,,"Montana Biosolids Permit (Non-Tribal)","EP6","05/27/2003","05/27/2003","US EPA Region 8","06/01/2003","08/16/2007","10/19/2007",,,"Y",,,"N",,
"3400085114","MOG690000","2",,"NGP",,"ADC",,,,,"Dredging - Lakes and Harbors","ST6","09/06/1991","03/14/2013","MODNR-Water Protection Program","03/14/2013","03/13/2018","07/31/2019",,,"Y",,,"N",,
"3400279009","ILG620000","1",,"NGP",,"ADC",,,,,"SURFACE DISCHARGING WTS","EP6","12/31/2013","12/31/2013",,"02/10/2014","02/09/2019","10/31/2020",,,"Y",,,"N",,
"3602997249","MTR10I000","0",,"NGP",,"EFF",,,,,"Construction General Permit (CGP)","EP6","01/11/2017","02/17/2022","U.S. EPA","02/17/2022","02/16/2027",,,,"Y",,,"N",,
"3600949619","MTR10I000","1",,"NGP",,"ADC",,,,,"Construction General Permit (CGP)","EP6","01/11/2017","01/11/2017","U.S. EPA","02/16/2017","02/15/2022","02/16/2022",,,"Y",,,"N",,
"3603725457","MDR055501","0",,"NGP",,"ADC",,,,,"SMALL MUNICIPAL SEPARATE STORM SEWER SYSTEMS","ST6","11/12/2004","04/27/2018","Maryland Department of the Environment","10/31/2018","10/30/2023",,,,"Y",,,"N",,
"3604252200","KYGE40000","0",,"NGP",,"EFF",,,,,"Coal Permit - Eastern","ST6","08/29/2014","01/31/2025",,"02/01/2025","01/31/2030",,,,"Y",,,"N",,
"3600683413","MIS520000","0",,"NGP",,"ADC",,,,,"GP-Ind SW CY5 Deluxe","ST6","09/19/2014","09/19/2014","State","04/01/2015","03/31/2020",,,,"Y",,,"N",,
"20053420","UTG080000","1",,"NGP",,"ADC",,,,,,"ST6","01/01/2000","01/01/2000","Utah DEQ Division of Water Quality","01/01/2000","09/30/2008","07/31/2014",,"Y","Y",,,"N",,
"3600688026","CAG990004","0",,"NGP",,"ADC",,,,,"Biological and Residual Pesticides - Vector Control Applications","ST6","05/20/2004","03/01/2016",,"07/01/2016","06/30/2021",,,,"Y",,,"N",,
"2600019791","AKG426000","0",,"NGP",,"TRM",,,,,"GRAYWATER DISCHARGES FROM FACILITIES RELATED TO OIL AND GAS","ST6","09/28/2012","09/28/2012","ADEC","11/01/2012","10/31/2017",,"08/31/2017",,"Y",,,"N",,
"1400034473","JAR100000","2",,"NGP",,"ADC",,,,,"JA STORMWATER CONSTRUCTION","EP6","07/01/2003","06/30/2008",,"07/01/2008","06/30/2010","02/15/2017",,,"Y",,,"N",,
"3602321496","NEG021000","0",,"NGP",,"EFF",,,,,"General Permit for Concentrated Animal Feeding Operations Confining Cattle","ST6","08/12/2020","08/12/2020","NDEE","04/01/2021","03/31/2026",,,,"Y",,,"N",,
"3601196000","ALG030000","3",,"NGP",,"ADC",,,,,,"ST6","10/01/2002","07/21/2017",,"10/01/2017","09/30/2022","09/30/2022",,,"Y",,,"N",,
"3603530637","PAC590045","0",,"NGP",,"TRM",,,,,"Brad Brinker","SO6","04/14/2022","04/14/2022","Tioga County Conservation District","04/14/2022","12/07/2024",,"04/26/2024",,"Y",,,"N",,
"3400233806","MEG130000","0",,"NGP",,"ADC",,,,,,"ST6","10/01/2008","05/01/2014","Maine Department of Environmental Protection","05/01/2014","03/30/2019",,,,"Y",,,"N",,
"3400079905","ALG890000","1",,"NGP",,"ADC",,,,,,"ST6","01/31/2013","01/31/2013",,"02/01/2013","01/31/2018","01/31/2018",,,"Y",,,"N",,
"3600151628","WAR05I000","1",,"NGP",,"ADC",,,,,"Multi-Sector MSG","EP6","06/04/2015","06/04/2015",,"06/04/2015","06/03/2020","02/28/2021",,,"Y",,,"N",,
"3600949600","10R10I000","1",,"NGP",,"ADC",,,,,"Construction General Permit (CGP)","EP6","01/11/2017","01/11/2017","U.S. EPA","02/16/2017","02/15/2022","02/16/2022",,,"Y",,,"N",,
"2400199094","MOG010000","1",,"NGP",,"ADC",,,,,,"ST6","08/19/1994","02/24/2006",,"02/24/2006","02/23/2011","02/23/2011",,,"Y",,,"N",,
"3603528612","MOG010000","0",,"NGP",,"EFF",,,,,"CAFO","ST6","08/19/1994","03/01/2023",,"03/01/2023","02/29/2028",,,,"Y",,,"N",,
"3601219165","WYG940000","2",,"NGP",,"ADC",,,,,"Temporary Discharge - LUST","ST6","11/01/2012","09/14/2017",,"09/14/2017","08/31/2022","08/31/2022",,,"Y",,,"N",,
"3600151603","DCR050000","1",,"NGP",,"ADC",,,,,"Multi-Sector MSG","EP6","06/04/2015","06/04/2015",,"06/04/2015","06/03/2020","02/28/2021",,,"Y",,,"N",,
"3600949624","SDR10I000","1",,"NGP",,"ADC",,,,,"Construction General Permit (CGP)","EP6","01/11/2017","01/11/2017","U.S. EPA","02/16/2017","02/15/2022","02/16/2022",,,"Y",,,"N",,
"3603530514","TXR150000","0",,"NGP",,"EFF",,,,,,"ST6","03/05/2003","02/27/2023",,"03/05/2023","03/04/2028",,,,"Y",,,"N",,
"3000068931","ALG200000","2",,"NGP",,"ADC",,,,,,"ST6","10/01/2002","08/22/2012",,"10/01/2012","09/30/2017","09/30/2017",,,"Y",,,"N",,
"3600888534","NDR050000","1",,"NGP",,"ADC",,,,,"General Permit NDR050000-Industrial Stormwater","ST6","03/31/2015","03/31/2015","North Dakota Department of Environmental Quality","04/01/2015","03/31/2020","03/31/2020",,,"Y",,,"N",,
"3602167549","NDR050000","2",,"NGP",,"ADC",,,,,"General Permit NDR050000-Industrial Stormwater","ST6","03/31/2015","03/30/2020","North Dakota Department of Environmental Quality","04/01/2020","03/31/2025","03/31/2025",,,"Y",,,"N",,
